block,id,count,means,std,min,25%,50%,75%,max
0,11220,8,0.375,0.51754917,0,0,0,1,1
0,11221,8,0.5,0.534522484,0,0,0.5,1,1
0,11222,8,0.625,0.51754917,0,0,1,1,1
0,11224,8,0.5,0.534522484,0,0,0.5,1,1
0,11225,8,0.75,0.46291005,0,0.75,1,1,1
0,11226,8,0.375,0.51754917,0,0,0,1,1
0,11229,8,0.5,0.534522484,0,0,0.5,1,1
0,11230,8,0.75,0.46291005,0,0.75,1,1,1
0,11232,8,0.375,0.51754917,0,0,0,1,1
0,11234,8,0.625,0.51754917,0,0,1,1,1
0,11236,8,0.375,0.51754917,0,0,0,1,1
0,11237,8,0.625,0.51754917,0,0,1,1,1
0,11238,8,0.625,0.51754917,0,0,1,1,1
0,11240,8,0.75,0.46291005,0,0.75,1,1,1
0,11241,8,0.875,0.353553391,0,1,1,1,1
0,11242,8,0.625,0.51754917,0,0,1,1,1
0,11243,8,0.625,0.51754917,0,0,1,1,1
0,11285,8,0.375,0.51754917,0,0,0,1,1
0,11286,8,1,0,1,1,1,1,1
0,11287,8,0.5,0.534522484,0,0,0.5,1,1
0,11288,8,0.875,0.353553391,0,1,1,1,1
0,11289,8,0.875,0.353553391,0,1,1,1,1
0,11290,8,0.75,0.46291005,0,0.75,1,1,1
0,11291,8,0.875,0.353553391,0,1,1,1,1
0,11292,8,0.625,0.51754917,0,0,1,1,1
0,11293,8,0.75,0.46291005,0,0.75,1,1,1
0,11294,8,0.5,0.534522484,0,0,0.5,1,1
0,11295,8,0.5,0.534522484,0,0,0.5,1,1
0,11296,8,0.75,0.46291005,0,0.75,1,1,1
0,11297,8,0.75,0.46291005,0,0.75,1,1,1
0,11298,8,0.375,0.51754917,0,0,0,1,1
0,11299,8,0.625,0.51754917,0,0,1,1,1
0,11300,8,0.625,0.51754917,0,0,1,1,1
0,11301,8,0.5,0.534522484,0,0,0.5,1,1
0,11302,8,0.625,0.51754917,0,0,1,1,1
0,11303,8,0.625,0.51754917,0,0,1,1,1
0,11305,8,0.375,0.51754917,0,0,0,1,1
0,11306,8,0.625,0.51754917,0,0,1,1,1
0,11307,8,0.625,0.51754917,0,0,1,1,1
0,11308,8,0.75,0.46291005,0,0.75,1,1,1
0,11309,8,0.75,0.46291005,0,0.75,1,1,1
0,11310,8,0.5,0.534522484,0,0,0.5,1,1
0,11311,8,0.75,0.46291005,0,0.75,1,1,1
0,11312,8,0.625,0.51754917,0,0,1,1,1
0,11313,8,0.625,0.51754917,0,0,1,1,1
0,11314,8,0.75,0.46291005,0,0.75,1,1,1
0,11315,8,0.75,0.46291005,0,0.75,1,1,1
0,11316,8,0.875,0.353553391,0,1,1,1,1
0,11317,8,0.875,0.353553391,0,1,1,1,1
0,11318,8,0.5,0.534522484,0,0,0.5,1,1
0,11319,8,0.75,0.46291005,0,0.75,1,1,1
0,11320,8,0.75,0.46291005,0,0.75,1,1,1
1,11220,8,0.75,0.46291005,0,0.75,1,1,1
1,11221,8,0.875,0.353553391,0,1,1,1,1
1,11222,8,0.625,0.51754917,0,0,1,1,1
1,11224,8,0.875,0.353553391,0,1,1,1,1
1,11225,8,0.875,0.353553391,0,1,1,1,1
1,11226,8,1,0,1,1,1,1,1
1,11229,8,1,0,1,1,1,1,1
1,11230,8,0.875,0.353553391,0,1,1,1,1
1,11232,8,0.375,0.51754917,0,0,0,1,1
1,11234,8,0.5,0.534522484,0,0,0.5,1,1
1,11236,8,0.875,0.353553391,0,1,1,1,1
1,11237,8,0.875,0.353553391,0,1,1,1,1
1,11238,8,0.875,0.353553391,0,1,1,1,1
1,11240,8,1,0,1,1,1,1,1
1,11241,8,0.875,0.353553391,0,1,1,1,1
1,11242,8,0.75,0.46291005,0,0.75,1,1,1
1,11243,8,0.875,0.353553391,0,1,1,1,1
1,11285,8,0.75,0.46291005,0,0.75,1,1,1
1,11286,7,1,0,1,1,1,1,1
1,11287,8,0.75,0.46291005,0,0.75,1,1,1
1,11288,8,1,0,1,1,1,1,1
1,11289,8,1,0,1,1,1,1,1
1,11290,8,0.875,0.353553391,0,1,1,1,1
1,11291,8,0.875,0.353553391,0,1,1,1,1
1,11292,8,0.625,0.51754917,0,0,1,1,1
1,11293,8,1,0,1,1,1,1,1
1,11294,8,1,0,1,1,1,1,1
1,11295,8,0.875,0.353553391,0,1,1,1,1
1,11296,8,0.875,0.353553391,0,1,1,1,1
1,11297,8,1,0,1,1,1,1,1
1,11298,8,0.875,0.353553391,0,1,1,1,1
1,11299,8,0.75,0.46291005,0,0.75,1,1,1
1,11300,8,0.875,0.353553391,0,1,1,1,1
1,11301,8,0.875,0.353553391,0,1,1,1,1
1,11302,8,0.875,0.353553391,0,1,1,1,1
1,11303,8,1,0,1,1,1,1,1
1,11305,8,0.875,0.353553391,0,1,1,1,1
