trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,discourage_A1,a,a,True,2500,2,11127,trainPhase
1,0,discourage_A2,a,a,True,2219,2,11127,trainPhase
2,0,discourage_B3,b,a,False,2636,2,11127,trainPhase
3,0,discourage_B0,b,b,True,1385,2,11127,trainPhase
4,0,discourage_A3,a,a,True,868,2,11127,trainPhase
5,0,discourage_A0,a,b,False,1514,2,11127,trainPhase
6,0,discourage_B1,b,b,True,1376,2,11127,trainPhase
7,0,discourage_B2,b,a,False,1930,2,11127,trainPhase
0,1,discourage_B0,b,b,True,1946,2,11127,trainPhase
1,1,discourage_B2,b,b,True,1409,2,11127,trainPhase
2,1,discourage_A1,a,a,True,1107,2,11127,trainPhase
3,1,discourage_A3,a,a,True,975,2,11127,trainPhase
4,1,discourage_B3,b,b,True,1805,2,11127,trainPhase
5,1,discourage_B1,b,b,True,1238,2,11127,trainPhase
6,1,discourage_A0,a,a,True,1317,2,11127,trainPhase
7,1,discourage_A2,a,a,True,1128,2,11127,trainPhase
0,2,discourage_A1,a,a,True,1048,2,11127,trainPhase
1,2,discourage_B1,b,b,True,1854,2,11127,trainPhase
2,2,discourage_A0,a,a,True,831,2,11127,trainPhase
3,2,discourage_A3,a,a,True,3757,2,11127,trainPhase
4,2,discourage_B3,b,b,True,3415,2,11127,trainPhase
5,2,discourage_B0,b,b,True,1092,2,11127,trainPhase
6,2,discourage_B2,b,b,True,1933,2,11127,trainPhase
0,0,discourage_X6,x,a,False,3090,2,11127,subTestPhase
1,0,discourage_X8,x,a,False,1157,2,11127,subTestPhase
2,0,discourage_B3,b,b,True,1457,2,11127,subTestPhase
3,0,discourage_X4,x,a,False,821,2,11127,subTestPhase
4,0,discourage_B2,b,b,True,819,2,11127,subTestPhase
5,0,discourage_X7,x,a,False,740,2,11127,subTestPhase
6,0,discourage_A3,a,a,True,812,2,11127,subTestPhase
7,0,discourage_A0,a,a,True,1382,2,11127,subTestPhase
8,0,discourage_A1,a,a,True,1221,2,11127,subTestPhase
9,0,discourage_A2,a,b,False,740,2,11127,subTestPhase
10,0,discourage_X1,x,a,False,1144,2,11127,subTestPhase
11,0,discourage_X3,x,a,False,585,2,11127,subTestPhase
12,0,discourage_X0,x,a,False,834,2,11127,subTestPhase
13,0,discourage_X5,x,a,False,1078,2,11127,subTestPhase
14,0,discourage_B1,b,b,True,823,2,11127,subTestPhase
15,0,discourage_X2,x,a,False,653,2,11127,subTestPhase
16,0,discourage_B0,b,b,True,546,2,11127,subTestPhase
0,0,discourage_Z2,z,a,False,4109,2,11127,testPhase
1,0,discourage_X4,x,a,False,719,2,11127,testPhase
2,0,discourage_W7,w,b,False,695,2,11127,testPhase
3,0,discourage_W0,w,a,False,2396,2,11127,testPhase
4,0,discourage_Z8,z,a,False,1030,2,11127,testPhase
5,0,discourage_Z7,z,a,False,776,2,11127,testPhase
6,0,discourage_Y0,y,b,False,963,2,11127,testPhase
7,0,discourage_Y7,y,b,False,582,2,11127,testPhase
8,0,discourage_W1,w,a,False,934,2,11127,testPhase
9,0,discourage_Y4,y,b,False,896,2,11127,testPhase
10,0,discourage_Z3,z,a,False,803,2,11127,testPhase
11,0,discourage_W6,w,a,False,1560,2,11127,testPhase
12,0,discourage_Y6,y,b,False,1282,2,11127,testPhase
13,0,discourage_X3,x,a,False,1085,2,11127,testPhase
14,0,discourage_X1,x,a,False,625,2,11127,testPhase
15,0,discourage_W4,w,a,False,586,2,11127,testPhase
16,0,discourage_Z6,z,a,False,1201,2,11127,testPhase
17,0,discourage_B1,b,b,True,1431,2,11127,testPhase
18,0,discourage_X7,x,a,False,686,2,11127,testPhase
19,0,discourage_Z4,z,a,False,1327,2,11127,testPhase
20,0,discourage_X8,x,a,False,641,2,11127,testPhase
21,0,discourage_W3,w,b,False,873,2,11127,testPhase
22,0,discourage_A0,a,a,True,1357,2,11127,testPhase
23,0,discourage_Z0,z,a,False,3123,2,11127,testPhase
24,0,discourage_B0,b,b,True,1237,2,11127,testPhase
25,0,discourage_Y1,y,b,False,675,2,11127,testPhase
26,0,discourage_X0,x,a,False,2153,2,11127,testPhase
27,0,discourage_X6,x,a,False,587,2,11127,testPhase
28,0,discourage_A3,a,a,True,543,2,11127,testPhase
29,0,discourage_W2,w,a,False,1093,2,11127,testPhase
30,0,discourage_A1,a,a,True,523,2,11127,testPhase
31,0,discourage_X2,x,a,False,533,2,11127,testPhase
32,0,discourage_A2,a,a,True,1558,2,11127,testPhase
33,0,discourage_B2,b,b,True,2279,2,11127,testPhase
34,0,discourage_W8,w,a,False,1068,2,11127,testPhase
35,0,discourage_Y8,y,b,False,864,2,11127,testPhase
36,0,discourage_Y2,y,b,False,1119,2,11127,testPhase
37,0,discourage_Y3,y,b,False,510,2,11127,testPhase
38,0,discourage_W5,w,a,False,790,2,11127,testPhase
39,0,discourage_Y5,y,b,False,601,2,11127,testPhase
40,0,discourage_X5,x,a,False,696,2,11127,testPhase
41,0,discourage_B3,b,a,False,1880,2,11127,testPhase
42,0,discourage_Z1,z,a,False,657,2,11127,testPhase
43,0,discourage_Z5,z,a,False,498,2,11127,testPhase
0,0,discourage_A3,a,a,True,5218,2,11239,trainPhase
1,0,discourage_A2,a,a,True,4261,2,11239,trainPhase
2,0,discourage_A1,a,a,True,3125,2,11239,trainPhase
3,0,discourage_B0,b,a,False,2101,2,11239,trainPhase
4,0,discourage_B3,b,b,True,1789,2,11239,trainPhase
5,0,discourage_B2,b,a,False,1701,2,11239,trainPhase
6,0,discourage_A0,a,a,True,2478,2,11239,trainPhase
7,0,discourage_B1,b,b,True,1333,2,11239,trainPhase
0,1,discourage_A0,a,a,True,1556,2,11239,trainPhase
1,1,discourage_B2,b,b,True,3595,2,11239,trainPhase
2,1,discourage_B1,b,b,True,3173,2,11239,trainPhase
3,1,discourage_A1,a,a,True,1307,2,11239,trainPhase
4,1,discourage_B0,b,a,False,3733,2,11239,trainPhase
5,1,discourage_A2,a,b,False,4468,2,11239,trainPhase
6,1,discourage_B3,b,b,True,1253,2,11239,trainPhase
7,1,discourage_A3,a,a,True,1877,2,11239,trainPhase
0,2,discourage_A2,a,a,True,1364,2,11239,trainPhase
1,2,discourage_B3,b,b,True,1589,2,11239,trainPhase
2,2,discourage_B2,b,b,True,4253,2,11239,trainPhase
3,2,discourage_B0,b,b,True,2894,2,11239,trainPhase
4,2,discourage_A3,a,a,True,2271,2,11239,trainPhase
5,2,discourage_B1,b,b,True,1293,2,11239,trainPhase
6,2,discourage_A0,a,a,True,1242,2,11239,trainPhase
7,2,discourage_A1,a,a,True,1277,2,11239,trainPhase
0,3,discourage_A2,a,a,True,2323,2,11239,trainPhase
1,3,discourage_B1,b,b,True,1501,2,11239,trainPhase
2,3,discourage_B0,b,b,True,2161,2,11239,trainPhase
3,3,discourage_A1,a,a,True,997,2,11239,trainPhase
4,3,discourage_B2,b,b,True,1438,2,11239,trainPhase
0,0,discourage_B2,b,b,True,2813,2,11239,subTestPhase
1,0,discourage_B1,b,b,True,1270,2,11239,subTestPhase
2,0,discourage_X1,x,a,False,1542,2,11239,subTestPhase
3,0,discourage_B3,b,b,True,1342,2,11239,subTestPhase
4,0,discourage_A0,a,a,True,1025,2,11239,subTestPhase
5,0,discourage_B0,b,b,True,1429,2,11239,subTestPhase
6,0,discourage_A3,a,a,True,1492,2,11239,subTestPhase
7,0,discourage_X2,x,a,False,1293,2,11239,subTestPhase
8,0,discourage_A1,a,a,True,1198,2,11239,subTestPhase
9,0,discourage_X6,x,a,False,1507,2,11239,subTestPhase
10,0,discourage_X0,x,a,False,1821,2,11239,subTestPhase
11,0,discourage_X7,x,a,False,1342,2,11239,subTestPhase
12,0,discourage_X8,x,a,False,1246,2,11239,subTestPhase
13,0,discourage_X4,x,a,False,1382,2,11239,subTestPhase
14,0,discourage_A2,a,a,True,1691,2,11239,subTestPhase
15,0,discourage_X3,x,a,False,1958,2,11239,subTestPhase
16,0,discourage_X5,x,a,False,1366,2,11239,subTestPhase
0,0,discourage_Z2,z,b,False,1308,2,11239,testPhase
1,0,discourage_W2,w,a,False,1714,2,11239,testPhase
2,0,discourage_W1,w,a,False,1776,2,11239,testPhase
3,0,discourage_X8,x,a,False,1150,2,11239,testPhase
4,0,discourage_X6,x,a,False,1342,2,11239,testPhase
