trial,block,stimId,category,response,rt,condition,id,phase
0,0,discourage_W3,w,4.0,17338,2,11239,typicality
1,0,discourage_X5,x,0.9999999999999996,4938,2,11239,typicality
2,0,discourage_Y3,y,12.0,5005,2,11239,typicality
3,0,discourage_Z3,z,4.0,6295,2,11239,typicality
4,0,discourage_A1,a,2.0,5405,2,11239,typicality
5,0,discourage_Y5,y,11.0,4089,2,11239,typicality
6,0,discourage_X1,x,2.0,4738,2,11239,typicality
7,0,discourage_Z5,z,3.0,2654,2,11239,typicality
8,0,discourage_A3,a,3.0,1510,2,11239,typicality
9,0,discourage_W4,w,0.9999999999999996,3249,2,11239,typicality
10,0,discourage_B2,b,3.0,3586,2,11239,typicality
11,0,discourage_A2,a,3.0,1199,2,11239,typicality
12,0,discourage_X7,x,2.0,3121,2,11239,typicality
13,0,discourage_W5,w,0.9999999999999996,3417,2,11239,typicality
14,0,discourage_Z4,z,4.0,5951,2,11239,typicality
15,0,discourage_B3,b,4.0,2426,2,11239,typicality
16,0,discourage_W1,w,2.0,3251,2,11239,typicality
17,0,discourage_Y4,y,11.0,3647,2,11239,typicality
18,0,discourage_X4,x,3.0,2769,2,11239,typicality
19,0,discourage_Z1,z,4.0,2633,2,11239,typicality
20,0,discourage_A0,a,0.9999999999999996,2627,2,11239,typicality
21,0,discourage_W7,w,0.9999999999999996,1259,2,11239,typicality
22,0,discourage_B0,b,9.0,8202,2,11239,typicality
23,0,discourage_Y1,y,12.0,2751,2,11239,typicality
24,0,discourage_B1,b,10.0,4153,2,11239,typicality
25,0,discourage_Y7,y,11.0,2920,2,11239,typicality
26,0,discourage_X3,x,3.0,3219,2,11239,typicality
27,0,discourage_Z7,z,3.0,2411,2,11239,typicality
0,0,discourage_A3,a,3.0,20971,2,11246,typicality
1,0,discourage_B0,b,2.0,8235,2,11246,typicality
2,0,discourage_Z1,z,4.0,6567,2,11246,typicality
3,0,discourage_W4,w,5.0,9677,2,11246,typicality
4,0,discourage_B3,b,3.0,8709,2,11246,typicality
5,0,discourage_W7,w,5.0,3397,2,11246,typicality
6,0,discourage_W5,w,6.0,2506,2,11246,typicality
7,0,discourage_Z5,z,3.0,5971,2,11246,typicality
8,0,discourage_Y3,y,11.0,4466,2,11246,typicality
9,0,discourage_W1,w,7.0,5154,2,11246,typicality
10,0,discourage_X7,x,0.9999999999999996,3586,2,11246,typicality
11,0,discourage_Y5,y,12.0,9441,2,11246,typicality
12,0,discourage_Y1,y,11.0,5026,2,11246,typicality
13,0,discourage_Z4,z,3.0,3507,2,11246,typicality
14,0,discourage_Z3,z,4.0,5124,2,11246,typicality
15,0,discourage_X5,x,2.0,7756,2,11246,typicality
16,0,discourage_B1,b,0.9999999999999996,4674,2,11246,typicality
17,0,discourage_A1,a,2.0,5112,2,11246,typicality
18,0,discourage_A2,a,0.9999999999999996,18117,2,11246,typicality
19,0,discourage_X1,x,0.9999999999999996,7750,2,11246,typicality
20,0,discourage_W3,w,4.0,4661,2,11246,typicality
21,0,discourage_Z7,z,4.0,7075,2,11246,typicality
22,0,discourage_Y7,y,8.0,5050,2,11246,typicality
23,0,discourage_X4,x,2.0,8936,2,11246,typicality
24,0,discourage_A0,a,3.0,11821,2,11246,typicality
25,0,discourage_Y4,y,11.0,5585,2,11246,typicality
26,0,discourage_X3,x,3.0,7240,2,11246,typicality
27,0,discourage_B2,b,2.0,5572,2,11246,typicality
0,0,discourage_Z4,z,12.0,16961,2,11248,typicality
1,0,discourage_A0,a,0.9999999999999996,5978,2,11248,typicality
2,0,discourage_W5,w,2.0,5498,2,11248,typicality
3,0,discourage_X7,x,0.0,5609,2,11248,typicality
4,0,discourage_W3,w,8.0,11534,2,11248,typicality
5,0,discourage_B3,b,10.0,4551,2,11248,typicality
6,0,discourage_A1,a,3.0,5523,2,11248,typicality
7,0,discourage_Y3,y,13.0,4435,2,11248,typicality
8,0,discourage_Z5,z,12.0,3738,2,11248,typicality
9,0,discourage_W1,w,0.0,3530,2,11248,typicality
10,0,discourage_Y7,y,12.0,2995,2,11248,typicality
11,0,discourage_Z1,z,13.0,2450,2,11248,typicality
12,0,discourage_Y5,y,12.0,2923,2,11248,typicality
13,0,discourage_Y4,y,12.0,1634,2,11248,typicality
14,0,discourage_X5,x,0.0,2707,2,11248,typicality
15,0,discourage_B1,b,10.0,5219,2,11248,typicality
16,0,discourage_Z3,z,13.0,3059,2,11248,typicality
17,0,discourage_X1,x,0.0,4579,2,11248,typicality
18,0,discourage_A3,a,4.0,6687,2,11248,typicality
19,0,discourage_B2,b,8.0,3970,2,11248,typicality
20,0,discourage_X4,x,0.0,3267,2,11248,typicality
21,0,discourage_Z7,z,12.0,4907,2,11248,typicality
22,0,discourage_W7,w,0.0,4539,2,11248,typicality
23,0,discourage_W4,w,0.0,1218,2,11248,typicality
24,0,discourage_B0,b,3.0,4973,2,11248,typicality
25,0,discourage_Y1,y,10.0,3004,2,11248,typicality
26,0,discourage_A2,a,9.0,3243,2,11248,typicality
27,0,discourage_X3,x,4.0,4268,2,11248,typicality
0,0,discourage_Z7,z,10.0,14794,2,11250,typicality
1,0,discourage_A2,a,13.0,4630,2,11250,typicality
2,0,discourage_Z5,z,13.0,1011,2,11250,typicality
3,0,discourage_X5,x,0.0,2866,2,11250,typicality
4,0,discourage_X4,x,0.0,1451,2,11250,typicality
5,0,discourage_Z4,z,7.0,5195,2,11250,typicality
6,0,discourage_Y3,y,9.0,3225,2,11250,typicality
7,0,discourage_X7,x,0.0,2309,2,11250,typicality
8,0,discourage_W4,w,0.0,2134,2,11250,typicality
9,0,discourage_A0,a,0.9999999999999996,3509,2,11250,typicality
10,0,discourage_B1,b,11.0,3907,2,11250,typicality
11,0,discourage_W5,w,0.0,2323,2,11250,typicality
12,0,discourage_X3,x,0.0,1632,2,11250,typicality
13,0,discourage_Y1,y,8.0,2759,2,11250,typicality
14,0,discourage_A3,a,11.0,3242,2,11250,typicality
15,0,discourage_Y4,y,8.0,3755,2,11250,typicality
16,0,discourage_Y7,y,8.0,1514,2,11250,typicality
17,0,discourage_W3,w,4.0,3672,2,11250,typicality
18,0,discourage_A1,a,0.9999999999999996,3852,2,11250,typicality
19,0,discourage_W7,w,0.9999999999999996,1142,2,11250,typicality
20,0,discourage_X1,x,0.0,3152,2,11250,typicality
21,0,discourage_B0,b,10.0,3423,2,11250,typicality
22,0,discourage_B2,b,10.0,1070,2,11250,typicality
23,0,discourage_Z1,z,10.0,2829,2,11250,typicality
24,0,discourage_Z3,z,10.0,1146,2,11250,typicality
25,0,discourage_B3,b,10.0,3298,2,11250,typicality
26,0,discourage_Y5,y,8.0,3052,2,11250,typicality
27,0,discourage_W1,w,0.0,2552,2,11250,typicality
0,0,discourage_W3,w,3.0,18925,2,11252,typicality
1,0,discourage_B0,b,9.0,7077,2,11252,typicality
2,0,discourage_W7,w,2.0,5863,2,11252,typicality
3,0,discourage_B1,b,9.0,5564,2,11252,typicality
4,0,discourage_X3,x,2.0,5499,2,11252,typicality
5,0,discourage_Z3,z,10.0,4391,2,11252,typicality
6,0,discourage_X7,x,0.9999999999999996,7770,2,11252,typicality
7,0,discourage_Z5,z,8.0,3504,2,11252,typicality
8,0,discourage_X1,x,0.9999999999999996,8114,2,11252,typicality
9,0,discourage_Z7,z,8.0,4859,2,11252,typicality
10,0,discourage_X4,x,2.0,2561,2,11252,typicality
11,0,discourage_Z1,z,9.0,4902,2,11252,typicality
12,0,discourage_A2,a,6.0,7897,2,11252,typicality
13,0,discourage_B3,b,8.0,2179,2,11252,typicality
14,0,discourage_X5,x,0.0,2479,2,11252,typicality
15,0,discourage_Y5,y,12.0,2575,2,11252,typicality
16,0,discourage_A1,a,0.9999999999999996,2997,2,11252,typicality
17,0,discourage_W4,w,4.0,3450,2,11252,typicality
18,0,discourage_W1,w,4.0,1685,2,11252,typicality
19,0,discourage_Y7,y,9.0,2100,2,11252,typicality
20,0,discourage_W5,w,4.0,3203,2,11252,typicality
21,0,discourage_A0,a,2.0,2764,2,11252,typicality
22,0,discourage_Y4,y,9.0,2204,2,11252,typicality
23,0,discourage_Y3,y,12.0,4371,2,11252,typicality
24,0,discourage_Z4,z,10.0,3275,2,11252,typicality
25,0,discourage_A3,a,8.0,3198,2,11252,typicality
26,0,discourage_Y1,y,13.0,4010,2,11252,typicality
27,0,discourage_B2,b,8.0,4257,2,11252,typicality
0,0,discourage_X4,x,2.0,17022,2,11254,typicality
1,0,discourage_A3,a,4.0,6481,2,11254,typicality
2,0,discourage_Y1,y,11.0,9528,2,11254,typicality
3,0,discourage_Z7,z,8.0,2994,2,11254,typicality
4,0,discourage_Y5,y,11.0,2531,2,11254,typicality
5,0,discourage_Y4,y,11.0,1050,2,11254,typicality
6,0,discourage_W5,w,3.0,3673,2,11254,typicality
7,0,discourage_Z3,z,8.0,2591,2,11254,typicality
8,0,discourage_Z5,z,4.0,9648,2,11254,typicality
9,0,discourage_B2,b,3.0,1810,2,11254,typicality
10,0,discourage_Y7,y,11.0,4275,2,11254,typicality
11,0,discourage_Z4,z,8.0,2786,2,11254,typicality
12,0,discourage_B0,b,5.0,3522,2,11254,typicality
13,0,discourage_A1,a,0.0,2394,2,11254,typicality
14,0,discourage_W3,w,2.0,2617,2,11254,typicality
15,0,discourage_W4,w,0.9999999999999996,3489,2,11254,typicality
16,0,discourage_X1,x,0.0,3955,2,11254,typicality
17,0,discourage_W1,w,2.0,2811,2,11254,typicality
18,0,discourage_X7,x,0.0,2051,2,11254,typicality
19,0,discourage_X3,x,0.9999999999999996,2329,2,11254,typicality
20,0,discourage_W7,w,2.0,2347,2,11254,typicality
21,0,discourage_X5,x,0.0,1867,2,11254,typicality
22,0,discourage_Z1,z,8.0,9309,2,11254,typicality
23,0,discourage_B1,b,5.0,2530,2,11254,typicality
24,0,discourage_A2,a,3.0,2030,2,11254,typicality
25,0,discourage_B3,b,4.0,2163,2,11254,typicality
26,0,discourage_Y3,y,12.0,2499,2,11254,typicality
27,0,discourage_A0,a,5.0,2875,2,11254,typicality
0,0,discourage_Z7,z,4.0,10371,2,11256,typicality
1,0,discourage_Y4,y,12.0,3591,2,11256,typicality
2,0,discourage_X5,x,0.0,2206,2,11256,typicality
3,0,discourage_B3,b,4.0,3922,2,11256,typicality
4,0,discourage_X4,x,0.0,1842,2,11256,typicality
5,0,discourage_A0,a,2.0,1803,2,11256,typicality
6,0,discourage_A1,a,0.9999999999999996,1978,2,11256,typicality
7,0,discourage_W3,w,5.0,2387,2,11256,typicality
8,0,discourage_Y3,y,13.0,2642,2,11256,typicality
9,0,discourage_W4,w,5.0,2490,2,11256,typicality
10,0,discourage_B1,b,5.0,5501,2,11256,typicality
11,0,discourage_A3,a,2.0,1785,2,11256,typicality
12,0,discourage_Z3,z,7.0,6320,2,11256,typicality
13,0,discourage_B0,b,6.0,2251,2,11256,typicality
14,0,discourage_W7,w,4.0,2061,2,11256,typicality
15,0,discourage_Y5,y,12.0,4227,2,11256,typicality
16,0,discourage_Y7,y,11.0,1729,2,11256,typicality
