trial,block,stimId,category,response,rt,condition,id,phase
0,0,neutral_A0,a,2.0,10676,3,11225,typicality
1,0,neutral_Z7,z,2.0,2523,3,11225,typicality
2,0,neutral_X1,x,11.0,5472,3,11225,typicality
3,0,neutral_W7,w,2.0,6801,3,11225,typicality
4,0,neutral_A2,a,2.0,1724,3,11225,typicality
5,0,neutral_A1,a,10.0,6742,3,11225,typicality
6,0,neutral_Y3,y,11.0,5204,3,11225,typicality
7,0,neutral_Y7,y,11.0,1181,3,11225,typicality
8,0,neutral_B2,b,3.0,2480,3,11225,typicality
9,0,neutral_X7,x,12.0,3634,3,11225,typicality
10,0,neutral_W1,w,2.0,2875,3,11225,typicality
11,0,neutral_B1,b,2.0,1971,3,11225,typicality
12,0,neutral_Z5,z,2.0,1286,3,11225,typicality
13,0,neutral_Z3,z,2.0,625,3,11225,typicality
14,0,neutral_W4,w,5.0,5025,3,11225,typicality
15,0,neutral_Y5,y,10.0,1781,3,11225,typicality
16,0,neutral_W3,w,10.0,1338,3,11225,typicality
17,0,neutral_X5,x,10.0,2206,3,11225,typicality
18,0,neutral_Y1,y,10.0,2387,3,11225,typicality
19,0,neutral_X4,x,10.0,1475,3,11225,typicality
20,0,neutral_B3,b,4.0,2154,3,11225,typicality
21,0,neutral_B0,b,4.0,696,3,11225,typicality
22,0,neutral_A3,a,4.0,734,3,11225,typicality
23,0,neutral_X3,x,9.0,2105,3,11225,typicality
24,0,neutral_Z4,z,3.0,3289,3,11225,typicality
25,0,neutral_Z1,z,3.0,922,3,11225,typicality
26,0,neutral_W5,w,3.0,4387,3,11225,typicality
27,0,neutral_Y4,y,10.0,2459,3,11225,typicality
0,0,neutral_W1,w,0.0,17835,3,11226,typicality
1,0,neutral_Z3,z,0.0,11324,3,11226,typicality
2,0,neutral_Y4,y,12.0,6821,3,11226,typicality
3,0,neutral_X5,x,0.0,2604,3,11226,typicality
4,0,neutral_Y5,y,12.0,4961,3,11226,typicality
5,0,neutral_W3,w,2.0,5087,3,11226,typicality
6,0,neutral_Z5,z,2.0,4410,3,11226,typicality
7,0,neutral_A0,a,2.0,5234,3,11226,typicality
8,0,neutral_Z1,z,2.0,2110,3,11226,typicality
9,0,neutral_A2,a,2.0,2560,3,11226,typicality
10,0,neutral_A1,a,2.0,1984,3,11226,typicality
11,0,neutral_B1,b,2.0,2464,3,11226,typicality
12,0,neutral_A3,a,0.9999999999999997,3227,3,11226,typicality
13,0,neutral_X3,x,0.0,2786,3,11226,typicality
14,0,neutral_B3,b,0.9999999999999997,5086,3,11226,typicality
15,0,neutral_X4,x,0.0,2482,3,11226,typicality
16,0,neutral_Z4,z,0.9999999999999997,2747,3,11226,typicality
17,0,neutral_Y7,y,12.0,3198,3,11226,typicality
18,0,neutral_W7,w,3.0,3153,3,11226,typicality
19,0,neutral_Z7,z,2.0,3259,3,11226,typicality
20,0,neutral_Y3,y,12.0,3403,3,11226,typicality
21,0,neutral_W5,w,2.0,3536,3,11226,typicality
22,0,neutral_B0,b,8.0,5297,3,11226,typicality
23,0,neutral_X7,x,0.0,3325,3,11226,typicality
24,0,neutral_B2,b,2.0,3638,3,11226,typicality
25,0,neutral_X1,x,0.0,2358,3,11226,typicality
26,0,neutral_Y1,y,13.0,3617,3,11226,typicality
27,0,neutral_W4,w,2.0,3211,3,11226,typicality
0,0,discourage_X1,x,2.0,8648,2,11227,typicality
1,0,discourage_Z5,z,2.0,1884,2,11227,typicality
2,0,discourage_X7,x,0.9999999999999997,3034,2,11227,typicality
3,0,discourage_A3,a,0.9999999999999997,1739,2,11227,typicality
4,0,discourage_B3,b,2.0,3666,2,11227,typicality
5,0,discourage_Z3,z,0.9999999999999997,4675,2,11227,typicality
6,0,discourage_Y5,y,10.0,3894,2,11227,typicality
7,0,discourage_W7,w,10.0,975,2,11227,typicality
8,0,discourage_W4,w,10.0,650,2,11227,typicality
9,0,discourage_Y7,y,10.0,766,2,11227,typicality
10,0,discourage_B1,b,3.0,3878,2,11227,typicality
11,0,discourage_Y4,y,7.0,3667,2,11227,typicality
12,0,discourage_A1,a,3.0,3529,2,11227,typicality
13,0,discourage_A2,a,0.9999999999999997,2135,2,11227,typicality
14,0,discourage_W1,w,9.0,3570,2,11227,typicality
15,0,discourage_A0,a,2.0,2168,2,11227,typicality
16,0,discourage_Y1,y,9.0,2567,2,11227,typicality
17,0,discourage_X4,x,0.0,2113,2,11227,typicality
18,0,discourage_Z7,z,0.0,491,2,11227,typicality
19,0,discourage_W5,w,9.0,5060,2,11227,typicality
20,0,discourage_W3,w,10.0,1921,2,11227,typicality
21,0,discourage_X5,x,0.9999999999999997,4212,2,11227,typicality
22,0,discourage_Z4,z,0.9999999999999997,953,2,11227,typicality
23,0,discourage_Z1,z,0.9999999999999997,610,2,11227,typicality
24,0,discourage_Y3,y,9.0,4864,2,11227,typicality
25,0,discourage_B2,b,3.0,3240,2,11227,typicality
26,0,discourage_X3,x,0.0,2714,2,11227,typicality
27,0,discourage_B0,b,5.0,6740,2,11227,typicality
0,0,neutral_X1,x,3.0,18013,3,11229,typicality
1,0,neutral_A3,a,3.0,5305,3,11229,typicality
2,0,neutral_A2,a,3.0,1526,3,11229,typicality
3,0,neutral_X4,x,3.0,1703,3,11229,typicality
4,0,neutral_B1,b,9.0,3385,3,11229,typicality
5,0,neutral_Y7,y,10.0,2296,3,11229,typicality
6,0,neutral_Z5,z,3.0,4809,3,11229,typicality
