id,category,count,means,std,min,25%,50%,75%,max
11239,a,4,2.25,0.957427108,1,1.75,2.5,3,3
11239,b,4,6.5,3.511884584,3,3.75,6.5,9.25,10
11239,w,5,1.8,1.303840481,1,1,1,2,4
11239,x,5,2.2,0.836660027,1,2,2,3,3
11239,y,5,11.4,0.547722558,11,11,11,12,12
11239,z,5,3.6,0.547722558,3,3,4,4,4
11246,a,4,2.25,0.957427108,1,1.75,2.5,3,3
11246,b,4,2,0.816496581,1,1.75,2,2.25,3
11246,w,5,5.4,1.140175425,4,5,5,6,7
11246,x,5,1.8,0.836660027,1,1,2,2,3
11246,y,5,10.6,1.516575089,8,11,11,11,12
11246,z,5,3.6,0.547722558,3,3,4,4,4
11248,a,4,4.25,3.403429643,1,2.5,3.5,5.25,9
11248,b,4,7.75,3.304037934,3,6.75,9,10,10
11248,w,5,2,3.464101615,0,0,0,2,8
11248,x,5,0.8,1.788854382,0,0,0,0,4
11248,y,5,11.8,1.095445115,10,12,12,12,13
11248,z,5,12.4,0.547722558,12,12,12,13,13
11250,a,4,6.5,6.403124237,1,1,6,11.5,13
11250,b,4,10.25,0.5,10,10,10,10.25,11
11250,w,5,1,1.732050808,0,0,0,1,4
11250,x,5,0,0,0,0,0,0,0
11250,y,5,8.2,0.447213595,8,8,8,8,9
11250,z,5,10,2.121320344,7,10,10,10,13
11252,a,4,4.25,3.304037934,1,1.75,4,6.5,8
11252,b,4,8.5,0.577350269,8,8,8.5,9,9
11252,w,5,3.4,0.894427191,2,3,4,4,4
11252,x,5,1.2,0.836660027,0,1,1,2,2
11252,y,5,11,1.870828693,9,9,12,12,13
11252,z,5,9,1,8,8,9,10,10
11254,a,4,3,2.160246899,0,2.25,3.5,4.25,5
11254,b,4,4.25,0.957427108,3,3.75,4.5,5,5
11254,w,5,2,0.707106781,1,2,2,2,3
11254,x,5,0.6,0.894427191,0,0,0,1,2
11254,y,5,11.2,0.447213595,11,11,11,11,12
11254,z,5,7.2,1.788854382,4,8,8,8,8
11256,a,4,1.75,0.5,1,1.75,2,2,2
11256,b,4,5.25,0.957427108,4,4.75,5.5,6,6
11256,w,5,4.8,0.447213595,4,5,5,5,5
11256,x,5,0.4,0.547722558,0,0,0,1,1
11256,y,5,12.2,0.836660027,11,12,12,13,13
11256,z,5,4,3,1,1,4,7,7
11258,a,4,3.75,0.5,3,3.75,4,4,4
11258,b,4,7.75,3.201562119,5,5,7.5,10.25,11
11258,w,5,3.8,0.447213595,3,4,4,4,4
11258,x,5,2.8,0.836660027,2,2,3,3,4
11258,y,5,9.4,1.140175425,8,9,9,10,11
11258,z,5,4.4,3.130495168,3,3,3,3,10
11260,a,4,4.25,2.061552813,2,3.5,4,4.75,7
11260,b,4,11.25,2.217355783,8,11,12,12.25,13
11260,w,5,3,1,2,2,3,4,4
11260,x,5,2.2,1.303840481,0,2,3,3,3
11260,y,5,9.2,0.836660027,8,9,9,10,10
11260,z,5,7.4,2.408318916,5,6,6,10,10
11262,a,4,3.5,1.290994449,2,2.75,3.5,4.25,5
11262,b,4,5.25,1.892969449,4,4,4.5,5.75,8
11262,w,5,3.8,0.836660027,3,3,4,4,5
11262,x,5,2.2,1.788854382,0,1,2,4,4
11262,y,5,12.4,0.894427191,11,12,13,13,13
11262,z,5,8,1.414213562,6,7,9,9,9
11264,a,4,3,0,3,3,3,3,3
11264,b,4,3.25,0.5,3,3,3,3.25,4
11264,w,5,3.8,0.836660027,3,3,4,4,5
11264,x,5,3.6,1.140175425,2,3,4,4,5
11264,y,5,9,1.414213562,8,8,8,10,11
11264,z,5,6.6,3.286335345,3,5,5,9,11
11266,a,4,4.25,1.5,3,3,4,5.25,6
11266,b,4,6.75,1.707825128,5,5.75,6.5,7.5,9
11266,w,5,8.8,2.387467277,5,8,10,10,11
11266,x,5,2.8,0.447213595,2,3,3,3,3
11266,y,5,9.6,0.547722558,9,9,10,10,10
11266,z,5,3.6,0.894427191,3,3,3,4,5
11268,a,4,8,5.099019514,1,6.25,9,10.75,13
11268,b,4,4,2,3,3,3,4,7
11268,w,5,3.8,1.095445115,3,3,3,5,5
11268,x,5,11,1.58113883,9,10,11,12,13
11268,y,5,8,1.870828693,5,8,8,9,10
11268,z,5,1,1.414213562,0,0,0,2,3
11270,a,4,6,3.651483717,2,3.5,6,8.5,10
11270,b,4,9,3.464101615,4,8.5,10,10.5,12
