id,category,count,means,std,min,25%,50%,75%,max
11223,a,4,3,1.154700538,2,2,3,4,4
11223,b,4,5.5,3.696845502,3,3.75,4,5.75,11
11223,w,5,4.2,1.303840481,2,4,5,5,5
11223,x,5,1,1.414213562,0,0,0,2,3
11223,y,5,12.2,1.303840481,10,12,13,13,13
11223,z,5,4.6,0.894427191,3,5,5,5,5
11231,a,4,2.25,0.5,2,2,2,2.25,3
11231,b,4,6.5,3.696845502,3,3.75,6,8.75,11
11231,w,5,3.4,1.140175425,2,3,3,4,5
11231,x,5,1.6,0.894427191,1,1,1,2,3
11231,y,5,11.2,1.303840481,10,10,11,12,13
11231,z,5,2.8,1.095445115,2,2,2,4,4
11245,a,4,3.25,0.5,3,3,3,3.25,4
11245,b,4,5.5,1.732050808,3,5.25,6,6.25,7
11245,w,5,5,1.224744871,4,4,5,5,7
11245,x,5,2.4,1.341640786,1,1,3,3,4
11245,y,5,8.6,1.949358869,6,7,10,10,10
11245,z,5,2.8,1.643167673,1,2,2,4,5
11247,a,4,2,2.449489743,0,0,1.5,3.5,5
11247,b,4,6.75,4.787135539,3,3,5.5,9.25,13
11247,w,5,2.6,1.673320053,0,2,3,4,4
11247,x,5,0.2,0.447213595,0,0,0,0,1
11247,y,5,13,0,13,13,13,13,13
11247,z,5,4.8,3.768288736,1,3,4,5,11
11249,a,4,1.5,1.914854216,0,0,1,2.5,4
11249,b,4,5.5,2.516611478,2,5,6,6.5,8
11249,w,5,0,0,0,0,0,0,0
11249,x,5,0,0,0,0,0,0,0
11249,y,5,11.4,1.140175425,10,11,11,12,13
11249,z,5,2.4,0.547722558,2,2,2,3,3
11251,a,4,2.75,0.957427108,2,2,2.5,3.25,4
11251,b,4,10.25,1.5,8,10.25,11,11,11
11251,w,5,2.8,0.447213595,2,3,3,3,3
11251,x,5,0,0,0,0,0,0,0
11251,y,5,11,3.391164992,5,12,12,13,13
11251,z,5,4.6,2.073644135,3,3,4,5,8
11253,a,4,1.75,0.957427108,1,1,1.5,2.25,3
11253,b,4,5.25,2.061552813,3,4.5,5,5.75,8
11253,w,5,11.4,3.577708764,5,13,13,13,13
11253,x,5,2.2,2.28035085,0,0,2,4,5
11253,y,5,11.6,1.516575089,10,10,12,13,13
11253,z,5,2.8,1.643167673,0,3,3,4,4
11255,a,4,3,1.414213562,2,2,2.5,3.5,5
11255,b,4,7.75,0.957427108,7,7,7.5,8.25,9
11255,w,5,3.2,0.447213595,3,3,3,3,4
11255,x,5,0.2,0.447213595,0,0,0,0,1
11255,y,5,12.4,0.894427191,11,12,13,13,13
11255,z,5,3.2,1.643167673,2,2,3,3,6
11257,a,4,2.75,2.753785274,0,0.75,2.5,4.5,6
11257,b,4,6.75,0.957427108,6,6,6.5,7.25,8
11257,w,5,1.8,2.049390153,0,0,2,2,5
11257,x,5,1.2,0.836660027,0,1,1,2,2
11257,y,5,10.6,0.547722558,10,10,11,11,11
11257,z,5,7,0.707106781,6,7,7,7,8
11261,a,4,2.5,1.732050808,0,2.25,3,3.25,4
11261,b,4,6.25,2.061552813,4,4.75,6.5,8,8
11261,w,5,9.8,1.303840481,9,9,9,10,12
11261,x,5,1,1.414213562,0,0,0,2,3
11261,y,5,12,1.414213562,10,11,13,13,13
11261,z,5,2.2,2.049390153,0,0,3,4,4
11263,a,4,6.5,7.505553499,0,0,6.5,13,13
11263,b,4,4.25,6.130524719,0,0,2,6.25,13
11263,w,5,10.8,2.049390153,9,9,10,13,13
11263,x,5,13,0,13,13,13,13,13
11263,y,5,7.4,4.979959839,1,3,11,11,11
11263,z,5,13,0,13,13,13,13,13
11265,a,4,3.25,1.5,2,2,3,4.25,5
11265,b,4,4.75,1.258305739,3,4.5,5,5.25,6
11265,w,5,3,1.224744871,1,3,3,4,4
11265,x,5,1,1.414213562,0,0,0,2,3
11265,y,5,12.8,0.447213595,12,13,13,13,13
11265,z,5,4,0.707106781,3,4,4,4,5
11267,a,4,3,0.816496581,2,2.75,3,3.25,4
11267,b,4,10,1.632993162,8,9.5,10,10.5,12
11267,w,5,2,1.414213562,1,1,1,3,4
11267,x,5,1.6,0.894427191,0,2,2,2,2
11267,y,5,9.6,1.140175425,8,9,10,10,11
11267,z,5,4.6,4.277849927,1,3,3,4,12
11269,a,4,1.75,1.5,0,0.75,2,3,3
11269,b,4,5.25,5.560275773,0,2.25,4,7,13
11269,w,5,4.4,0.894427191,3,4,5,5,5
11269,x,5,0.6,0.894427191,0,0,0,1,2
11269,y,5,12.6,0.894427191,11,13,13,13,13
11269,z,5,2.6,1.816590212,0,2,3,3,5
11273,a,4,3,2.449489743,0,2.25,3,3.75,6
11273,b,4,9.25,2.986078811,6,7.5,9,10.75,13
11273,w,5,7.8,2.949576241,6,6,7,7,13
11273,x,5,0.8,1.095445115,0,0,0,2,2
11273,y,5,13,0,13,13,13,13,13
11273,z,5,5.6,6.804410334,0,0,2,13,13
11275,a,4,1.75,1.5,0,0.75,2,3,3
11275,b,4,8,3.464101615,3,7.5,9,9.5,11
11275,w,5,3.2,0.836660027,2,3,3,4,4
11275,x,5,0.6,0.547722558,0,0,1,1,1
11275,y,5,11.6,0.894427191,11,11,11,12,13
11275,z,5,0.4,0.547722558,0,0,0,1,1
11277,a,4,0,0,0,0,0,0,0
11277,b,4,3.25,6.5,0,0,0,3.25,13
11277,w,5,0.6,1.341640786,0,0,0,0,3
11277,x,5,0,0,0,0,0,0,0
11277,y,5,13,0,13,13,13,13,13
11277,z,5,0,0,0,0,0,0,0
11279,a,4,0,0,0,0,0,0,0
11279,b,4,6.5,5.446711546,0,3.75,6.5,9.25,13
11279,w,5,1.6,3.577708764,0,0,0,0,8
11279,x,5,0,0,0,0,0,0,0
11279,y,5,13,0,13,13,13,13,13
11279,z,5,0,0,0,0,0,0,0
11281,a,4,2.75,0.957427108,2,2,2.5,3.25,4
11281,b,4,6.5,3.511884584,3,3.75,6.5,9.25,10
11281,w,5,4.2,0.447213595,4,4,4,4,5
11281,x,5,0.4,0.547722558,0,0,0,1,1
11281,y,5,11.2,1.483239697,9,11,11,12,13
11281,z,5,2.6,0.894427191,2,2,2,3,4
11283,a,4,2.25,0.5,2,2,2,2.25,3
11283,b,4,7.25,2.217355783,5,5.75,7,8.5,10
11283,w,5,2.8,1.303840481,1,2,3,4,4
11283,x,5,0.4,0.547722558,0,0,0,1,1
11283,y,5,12.4,0.547722558,12,12,12,13,13
11283,z,5,2.6,0.547722558,2,2,3,3,3
