id,category,count,means,std,min,25%,50%,75%,max
11220,a,4,6.75,3.862210075,3,3.75,6.5,9.5,11
11220,b,4,9,0.816496581,8,8.75,9,9.25,10
11220,w,5,6.8,2.774887385,4,4,7,9,10
11220,x,5,2.4,0.894427191,2,2,2,2,4
11220,y,5,10.2,0.447213595,10,10,10,10,11
11220,z,5,9.6,0.894427191,9,9,9,10,11
11221,a,4,2.5,1.732050808,1,1.75,2,2.75,5
11221,b,4,13,0,13,13,13,13,13
11221,w,5,4.8,1.095445115,4,4,4,6,6
11221,x,5,6.6,0.894427191,5,7,7,7,7
11221,y,5,7.2,0.447213595,7,7,7,7,8
11221,z,5,5,0.707106781,4,5,5,5,6
11222,a,4,1,0.816496581,0,0.75,1,1.25,2
11222,b,4,4.25,2.872281323,1,3.25,4,5,8
11222,w,5,3.2,1.923538406,0,3,4,4,5
11222,x,5,1.4,1.673320053,0,0,1,2,4
11222,y,5,6,2.915475947,4,4,5,6,11
11222,z,5,0.8,0.836660027,0,0,1,1,2
11224,a,4,2.5,0.577350269,2,2,2.5,3,3
11224,b,4,6.75,2.62995564,3,6,7.5,8.25,9
11224,w,5,4,0,4,4,4,4,4
11224,x,5,2.4,0.894427191,2,2,2,2,4
11224,y,5,5,2.828427125,3,4,4,4,10
11224,z,5,2.4,0.894427191,2,2,2,2,4
11225,a,4,4.5,3.785938897,2,2,3,5.5,10
11225,b,4,3.25,0.957427108,2,2.75,3.5,4,4
11225,w,5,4.4,3.361547263,2,2,3,5,10
11225,x,5,10.4,1.140175425,9,10,10,11,12
11225,y,5,10.4,0.547722558,10,10,10,11,11
11225,z,5,2.4,0.547722558,2,2,2,3,3
11226,a,4,1.75,0.5,1,1.75,2,2,2
11226,b,4,3.25,3.201562119,1,1.75,2,3.5,8
11226,w,5,1.8,1.095445115,0,2,2,2,3
11226,x,5,0,0,0,0,0,0,0
11226,y,5,12.2,0.447213595,12,12,12,12,13
11226,z,5,1.4,0.894427191,0,1,2,2,2
11229,a,4,3,0,3,3,3,3,3
11229,b,4,7.75,2.5,4,7.75,9,9,9
11229,w,5,4.2,2.167948339,3,3,3,4,8
11229,x,5,2.6,0.547722558,2,2,3,3,3
11229,y,5,9.6,0.547722558,9,9,10,10,10
11229,z,5,3,0.707106781,2,3,3,3,4
11230,a,4,1.5,1,1,1,1,1.5,3
11230,b,4,8,2,5,8,9,9,9
11230,w,5,3.8,4.024922359,2,2,2,2,11
11230,x,5,0.4,0.894427191,0,0,0,0,2
11230,y,5,11.6,1.341640786,10,11,11,13,13
11230,z,5,4,1.58113883,2,3,4,5,6
11232,a,4,2,1.414213562,0,1.5,2.5,3,3
11232,b,4,5.75,2.061552813,4,4,5.5,7.25,8
11232,w,5,0.4,0.894427191,0,0,0,0,2
11232,x,5,0.2,0.447213595,0,0,0,0,1
11232,y,5,12.2,1.788854382,9,13,13,13,13
11232,z,5,3.2,0.836660027,2,3,3,4,4
11234,a,4,1,1.154700538,0,0,1,2,2
11234,b,4,4.25,4.5,2,2,2,4.25,11
11234,w,5,0,0,0,0,0,0,0
11234,x,5,0.4,0.894427191,0,0,0,0,2
11234,y,5,13,0,13,13,13,13,13
11234,z,5,6.6,5.856620186,2,2,3,13,13
11236,a,4,2.75,0.957427108,2,2,2.5,3.25,4
11236,b,4,4.25,3.862210075,2,2,2.5,4.75,10
11236,w,5,4,0,4,4,4,4,4
11236,x,5,2.4,0.547722558,2,2,2,3,3
11236,y,5,10.6,1.816590212,8,10,11,11,13
11236,z,5,2.4,0.547722558,2,2,2,3,3
11237,a,4,1.75,1.258305739,0,1.5,2,2.25,3
11237,b,4,3.75,1.258305739,2,3.5,4,4.25,5
11237,w,5,1,2.236067977,0,0,0,0,5
11237,x,5,1.2,1.303840481,0,0,1,2,3
11237,y,5,12,1,11,11,12,13,13
11237,z,5,4.8,1.788854382,4,4,4,4,8
11238,a,4,3,1.414213562,1,2.5,3.5,4,4
11238,b,4,7,3.464101615,4,4,7,10,10
11238,w,5,7.6,1.516575089,5,8,8,8,9
11238,x,5,1.4,1.516575089,0,0,1,3,3
11238,y,5,11.2,1.643167673,9,10,12,12,13
11238,z,5,4.4,0.547722558,4,4,4,5,5
11240,a,4,5.75,4.787135539,0,3,6,8.75,11
11240,b,4,7,2,4,7,8,8,8
11240,w,5,0,0,0,0,0,0,0
11240,x,5,12.2,0.836660027,11,12,12,13,13
11240,y,5,11.4,0.894427191,10,11,12,12,12
11240,z,5,2,0.707106781,1,2,2,2,3
11241,a,4,1.5,1.914854216,0,0,1,2.5,4
11241,b,4,6.25,2.753785274,3,4.5,6.5,8.25,9
11241,w,5,5,3.082207001,0,4,7,7,7
11241,x,5,0.4,0.894427191,0,0,0,0,2
11241,y,5,12.2,1.788854382,9,13,13,13,13
11241,z,5,5.8,4.086563348,3,4,4,5,13
11242,a,4,2.5,1,2,2,2,2.5,4
11242,b,4,3.75,1.5,2,2.75,4,5,5
11242,w,5,2.2,0.447213595,2,2,2,2,3
11242,x,5,1,1.24E-16,1,1,1,1,1
11242,y,5,10.8,0.836660027,10,10,11,11,12
11242,z,5,3.8,1.095445115,2,4,4,4,5
11243,a,4,5.125,1.030776406,4,4.75,5,5.375,6.5
11243,b,4,5.25,0.957427108,4,4.75,5.5,6,6
11243,w,5,5.6,0.547722558,5,5,6,6,6
11243,x,5,2,1.58113883,0,1,2,3,4
11243,y,5,10.2,1.483239697,8,10,10,11,12
11243,z,5,5.6,0.547722558,5,5,6,6,6
